Date,Clicks,Impressions,CTR,Position
2026-09-09,4,544,0.74%,12.6
2026-09-10,11,610,1.8%,9.2
2026-09-11,18,1089,1.65%,10.4
2026-09-12,20,2030,0.99%,9.4
2026-09-13,13,1970,0.66%,9.4
2026-09-14,8,663,1.21%,12.8
2026-09-15,9,649,1.39%,9.4
