# ----------------------------------------
# Reports snapshot
# Account: FleaFind
# Property: FleaFind
# ----------------------------------------
#  
# Start date: 20260708
# End date: 20260804
Active users,New users,Average engagement time per active user,Event count
522,499,48.934865900383144,4801

#  
# Start date: 20260708
# End date: 20260804
Page title and screen class,Views,Active users,Event count,Bounce rate
Für Veranstalter: Flohmarkt-Eintrag bestätigen | fleafind.ch,8,4,10,0
"Marche Calabash on August 2, 2026 – Opening Hours & Info",8,4,8,0
Marché aux puces de Plainpalais – All Dates 2026,8,2,9,0.5
Marché aux puces de Plainpalais – Alle Termine 2026,8,4,14,0.25
Quartierflohmarkt Breite/St. Alban – Alle Termine 2026,8,1,10,0
Rosenhof-Markt am 18. Juli 2026 – Öffnungszeiten & Infos,8,3,9,0
Rosenhof-Markt am 25. Juli 2026 – Öffnungszeiten & Infos,8,4,8,0
"fundus Flohmarkt ARENA Root on July 19, 2026 – Opening Hours & Info",8,4,8,0
15 Flohmärkte am 17. Juli - 19. Juli 2026 | FleaFind,7,3,12,0
21 flea markets on 7 August - 9 August 2026 | FleaFind,7,1,13,1
FLOSCH Schwamendingen Flohmarkt – Alle Termine 2026,7,2,11,0
Flea Markets in Aarau 2026 - Dates & Locations | FleaFind,7,2,8,0
Flea market today in Geneva — Current dates | FleaFind,7,1,10,1
Floh- und Trödlermarkt Winterthur Altstadt am 11. Juli 2026 – Öffnungszeiten & Infos,7,3,11,0.3333333333333333
Flohmarkt Basel - 24.-26. Juli 2026,7,4,16,0.25
Flohmarkt Dampfzentrale – Alle Termine 2026,7,5,18,0.3333333333333333
"Flohmarkt Dietikon on July 18, 2026 – Opening Hours & Info",7,4,12,0
Flohmarkt Gallusplatz am 1. August 2026 – Öffnungszeiten & Infos,7,2,9,0
Flohmarkt Kanzlei am 8. August 2026 – Öffnungszeiten & Infos,7,4,11,0.4
Flohmarkt St. Gallen Samstag - Termine 2026 | FleaFind,7,3,17,0
Flohmarkt Zürich - 24.-26. Juli 2026,7,4,13,0
Grosser Floh- und Raritaetenmarkt Europaplatz am 25. Juli 2026 – Öffnungszeiten & Infos,7,5,13,0.3333333333333333
Marche Calabash le 2 août 2026 – Horaires et infos,7,6,23,0.3333333333333333
"Marché aux puces de Plainpalais (Erster Sonntag) on August 2, 2026 – Opening Hours & Info",7,3,14,0.25
Marchés aux puces à Zürich ce week-end — Dates & Infos | FleaFind,7,1,9,0
PROGR Vintage Flea Market am 18. Juli 2026 – Öffnungszeiten & Infos,7,4,12,0
Privacy Policy | FleaFind,7,4,12,0
"Rosenhof-Markt on August 1, 2026 – Opening Hours & Info",7,4,24,0.42857142857142855
Vide-Dressing du Flon le 3 octobre 2026 – Horaires et infos,7,3,10,0
17 flea markets on 26 July - 1 August 2026 | FleaFind,6,2,7,0
"3 Flohmärkte am Sonntag, 2. August 2026 | FleaFind",6,2,7,0
8 Flohmärkte am 1. August - 7. August 2026 | FleaFind,6,1,6,0
"Brocante de Rive on August 29, 2026 – Opening Hours & Info",6,2,7,0
Coffre Ouvert – Toutes les dates 2026,6,4,19,0.4
Flea market Zurich - 31 July - 2 August 2026,6,4,14,0.25
Flohmarkt Aarau 2026 - Termine & Standorte | FleaFind,6,2,10,0.3333333333333333
