Date,Clicks,Impressions,CTR,Position
2026-09-11,18,1089,1.65%,10.4
2026-09-12,20,2030,0.99%,9.4
2026-09-13,13,1970,0.66%,9.4
2026-09-14,8,663,1.21%,12.8
2026-09-15,9,649,1.39%,9.4
2026-09-16,19,632,3.01%,10.1
2026-09-17,7,803,0.87%,8.9
